	Alltype	Alltype(non-senior)	Normal	Normal(non-senior)	LumA	LumA(non-senior	LumB	LumB(non-senior)	Basal	Basal(non-senior)	Her2	Her2(non-senior)	ERpos_PRpos_HER2pos	ERpos_PRpos_HER2pos(non-senior)	ERneg_PRpos_HER2pos	ERneg_PRpos_HER2pos(non-senior)	ERpos_PRneg_HER2pos	ERpos_PRneg_HER2pos(non-senior)	ERpos_PRpos_HER2neg	ERpos_PRpos_HER2neg(non-senior)	ERneg_PRneg_HER2pos	ERneg_PRneg_HER2pos(non-senior)	ERpos_PRneg_HER2neg	ERpos_PRneg_HER2neg(non-senior)	ERneg_PRpos_HER2neg	ERneg_PRpos_HER2neg(non-senior)	ERneg_PRneg_HER2neg	ERneg_PRneg_HER2neg(non-senior)
HLA-K	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
GVINP2	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
RPS10P20	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
HSPA8P1	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
GAPDHP45	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
ANKRD30BP2	9.37172e-01	9.83634e-01	3.72508e-02	3.30507e-01	9.50594e-01	4.02326e-01	3.15514e-01	1.35467e-01	6.34565e-01	4.80182e-01	7.90731e-01	9.77646e-01	6.70790e-01	8.55436e-01	2.83995e-01	8.28133e-01	6.70790e-01	8.55436e-01	2.83995e-01	8.28133e-01	2.83995e-01	8.28133e-01	6.70790e-01	8.55436e-01	2.83995e-01	8.28133e-01	2.83995e-01	8.28133e-01
RPS20P25	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
KRT18P62	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
OR7E10P	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
SCML2P1	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
RPL5P28	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
RPS27P12	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
PRR13P5	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
IGKV2D-23	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
GPS2	1.88426e-01	3.57876e-02	5.95204e-01	9.98684e-01	6.75104e-01	9.79009e-01	9.44347e-01	9.21042e-01	2.99939e-01	1.30379e-01	5.27760e-01	1.27241e-01	4.78116e-01	6.68913e-01	2.97768e-01	3.88120e-02	4.78116e-01	6.68913e-01	2.97768e-01	3.88120e-02	2.97768e-01	3.88120e-02	4.78116e-01	6.68913e-01	2.97768e-01	3.88120e-02	2.97768e-01	3.88120e-02
GPS2P1	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
GPS2:GPS2P1	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
